County,City,Female,Male,Other,Grand Total
Adams,,2424,2178,94,4696
, Hatton,21,18,6,45
, Lind,172,169,9,350
, Othello,1591,1348,47,2986
, Ritzville,577,562,30,1169
, Washtucna,63,81,2,146
Asotin,,2452,2110,99,4661
, Asotin,401,359,14,774
, Clarkston,2051,1751,85,3887
Benton,,51777,48668,2603,103048
, Benton City,922,922,68,1912
, Kennewick,23189,21450,1211,45850
, Prosser,1714,1465,87,3266
, Richland,20185,19301,956,40442
, West Richland,5767,5530,281,11578
Chelan,,14537,13107,513,28157
, Cashmere,981,904,25,1910
, Chelan,1494,1448,67,3009
, Entiat,503,455,21,979
, Leavenworth,911,831,42,1784
, Wenatchee,10648,9469,358,20475
Clallam,,11164,9585,543,21292
, Forks,884,812,28,1724
, Port Angeles,6937,6237,358,13532
, Sequim,3343,2536,157,6036
Clark,,88676,80777,3073,172526
, Battle Ground,7358,6631,221,14210
, Camas,9628,9130,299,19057
, La Center,1523,1411,35,2969
, Ridgefield,5126,4647,165,9938
, Vancouver,58640,52968,2163,113771
, Washougal,5903,5486,179,11568
, Woodland,38,31,0,69
, Yacolt,460,473,11,944
Columbia,,951,824,30,1805
, Dayton,907,779,28,1714
, Starbuck,44,45,2,91
Cowlitz,,18814,16896,939,36649
, Castle Rock,752,660,34,1446
, Kalama,1108,1005,41,2154
, Kelso,3451,3228,206,6885
, Longview,11700,10326,585,22611
, Woodland,1803,1677,73,3553
Douglas,,5275,4991,254,10520
, Bridgeport,282,274,12,568
, Coulee Dam,60,78,3,141
, East Wenatchee,4096,3785,206,8087
, Mansfield,103,103,3,209
, Rock Island,343,354,21,718
, Waterville,391,397,9,797
Ferry,,297,262,21,580
, Republic,297,262,21,580
Franklin,,18584,17404,789,36777
, Connell,605,534,25,1164
, Kahlotus,46,38,1,85
, Mesa,67,67,3,137
, Pasco,17866,16765,760,35391
Garfield,,490,483,12,985
, Pomeroy,490,483,12,985
Grant,,12585,11531,556,24672
, Electric City,299,334,9,642
, Coulee City,198,176,7,381
, Ephrata,2299,2117,103,4519
, George,74,66,0,140
, Grand Coulee,271,252,13,536
, Hartline,56,59,2,117
, Krupp,12,19,1,32
, Mattawa,219,205,10,434
, Moses Lake,6429,5829,305,12563
, Quincy,1635,1502,34,3171
, Royal City,193,186,10,389
, Soap Lake,430,375,33,838
, Warden,401,348,27,776
, Wilson Creek,69,63,2,134
Grays Harbor,,15162,13727,793,29682
, Aberdeen,4613,4276,269,9158
, Cosmopolis,603,526,21,1150
, Elma,1022,947,66,2035
, Hoquiam,2600,2357,145,5102
, McCleary,619,599,22,1240
, Montesano,1486,1262,46,2794
, Oakville,217,186,14,417
, Ocean Shores,3286,2940,163,6389
, Westport,716,634,47,1397
Island,,7596,6776,370,14742
, Coupeville,794,618,38,1450
, Langley,585,405,39,1029
, Oak Harbor,6217,5753,293,12263
Jefferson,,4576,3747,159,8482
, Port Townsend,4576,3747,159,8482
King,,597274,576088,33659,1207021
, Algona,858,856,41,1755
, Auburn,19824,18401,947,39172
, Beaux Arts Village,125,127,5,257
, Bellevue,39394,38746,2175,80315
, Black Diamond,2381,2338,82,4801
, Bothell,9041,8170,388,17599
, Burien,14532,13991,720,29243
, Carnation,800,714,45,1559
, Clyde Hill,1118,1064,46,2228
, Covington,6770,6559,242,13571
, Des Moines,9694,8849,459,19002
, Duvall,2746,2646,108,5500
, Enumclaw,4668,4126,164,8958
, Federal Way,25804,23732,1160,50696
, Hunts Point,162,157,12,331
, Issaquah,12290,10866,587,23743
, Kenmore,7809,7484,304,15597
, Kent,34488,32934,1620,69042
, Kirkland,28388,27161,1277,56826
, Lake Forest Park,5152,4984,182,10318
, Maple Valley,8926,8433,332,17691
, Medina,1087,1076,50,2213
, Mercer Island,9446,8741,384,18571
, Milton,597,460,26,1083
, Newcastle,4082,3945,186,8213
, Normandy Park,2559,2483,71,5113
, North Bend,2916,2818,121,5855
, Pacific,1686,1660,66,3412
, Redmond,16320,16869,1011,34200
, Renton,29320,27997,1488,58805
, Sammamish,19255,18980,949,39184
, Seatac,6988,7430,405,14823
, Seattle,233933,228707,16354,478994
, Shoreline,19934,18459,921,39314
, Skykomish,55,62,3,120
, Snoqualmie,4279,4010,162,8451
, Tukwila,4991,5574,346,10911
, Woodinville,4417,4046,192,8655
, Yarrow Point,439,433,28,900
Kitsap,,31977,29519,1397,62893
, Bainbridge Island,10367,9495,366,20228
, Bremerton,11652,11309,617,23578
, Port Orchard,5355,4851,232,10438
, Poulsbo,4603,3864,182,8649
Kittitas,,6684,6183,368,13235
, Cle Elum,682,680,35,1397
, Ellensburg,5062,4573,290,9925
, Kittitas,389,365,22,776
, Roslyn,369,376,15,760
, South Cle Elum,182,189,6,377
Klickitat,,2030,1940,120,4090
,Bingen ,174,177,9,360
,Goldendale ,1007,946,67,2020
,White Salmon ,849,817,44,1710
Lewis,,9872,8818,466,19156
,Centralia ,5178,4507,250,9935
,Chehalis ,2219,1984,106,4309
,Morton ,383,355,17,755
,Mossyrock ,174,167,9,350
,Napavine ,642,579,22,1243
,Pe Ell,219,197,9,425
,Toledo ,239,196,9,444
,Vader ,205,198,13,416
,Winlock ,613,635,31,1279
Lincoln,,1932,1821,66,3819
, Almira,91,100,7,198
, Creston,68,79,0,147
, Davenport,629,558,12,1199
, Harrington,155,142,8,305
, Odessa,304,281,14,599
, Reardan,196,203,5,404
, Sprague,159,157,7,323
, Wilbur,330,301,13,644
Mason,,2792,2365,40,5197
, Shelton,2792,2365,40,5197
Okanogan,,4393,3868,284,8545
, Brewster,337,328,7,672
, Conconully,67,74,5,146
, Coulee Dam,293,270,19,582
, Elmer City,79,73,7,159
, Nespelem,34,33,3,70
, Okanogan,646,585,45,1276
, Omak,1324,1118,82,2524
, Oroville,468,409,30,907
, Pateros,177,160,12,349
, Riverside,85,92,0,177
, Tonasket,287,262,24,573
, Twisp,373,278,34,685
, Winthrop,223,186,16,425
Pacific,,2259,2089,132,4480
, Ilwaco,360,336,19,715
, Long Beach,594,495,44,1133
, Raymond,840,823,41,1704
, South Bend,465,435,28,928
Pend Oreille,,719,608,48,1375
, Cusick,0,0,0,0
, Ione,0,0,0,0
, Metaline,0,0,0,0
, Metaline Falls,0,0,0,0
, Newport,719,608,48,1375
Pierce,,148243,133205,6754,288202
, Auburn,2863,2484,99,5446
, Bonney Lake,7021,6810,217,14048
, Buckley,1884,1681,67,3632
, Carbonado,231,230,16,477
, Dupont,2695,2500,129,5324
, Eatonville,940,861,39,1840
, Edgewood,4444,4265,157,8866
, Fife,2446,2277,131,4854
, Fircrest,2719,2281,90,5090
, Gig Harbor,4727,3997,175,8899
, Lakewood,16265,14859,776,31900
, Milton,2035,1880,94,4009
, Orting,2760,2610,101,5471
, Pacific,5,13,1,19
, Puyallup,13642,12285,465,26392
, Roy,225,236,3,464
, Ruston,401,352,16,769
, South Prairie,137,159,7,303
, Steilacoom,2493,2103,93,4689
, Sumner,3281,2789,128,6198
, Tacoma,65218,58231,3457,126906
, University Place,11664,10140,489,22293
, Wilkeson,147,162,4,313
San Juan,,996,851,50,1897
, Friday Harbor,996,851,50,1897
Skagit,,24552,21533,1085,47170
, Anacortes,7210,6272,330,13812
, Burlington,2585,2393,124,5102
, Concrete,243,224,13,480
, Hamilton,73,67,8,148
, La Conner,414,341,15,770
, Lyman,122,117,4,243
, Mount Vernon,10183,8876,440,19499
, Sedro-Woolley,3722,3243,151,7116
Skamania,,937,900,61,1898
, North Bonneville,343,343,19,705
, Stevenson,594,557,42,1193
Snohomish,,144904,135673,6264,286841
, Arlington,6832,6208,279,13319
, Bothell,5857,5468,255,11580
, Brier,2474,2391,110,4975
, Darrington,467,447,28,942
, Edmonds,16312,13971,663,30946
, Everett,29290,28548,1484,59322
, Gold Bar,691,710,30,1431
, Granite Falls,1507,1496,61,3064
, Index,62,58,3,123
, Lake Stevens,12872,12309,469,25650
, Lynnwood,11298,10402,497,22197
, Marysville,22261,21249,828,44338
, Mill Creek,6607,5965,297,12869
, Monroe,5297,5008,222,10527
, Mountlake Terrace,6819,6252,353,13424
, Mukilteo,7357,7048,324,14729
, Snohomish,3561,3120,132,6813
, Stanwood,2828,2492,123,5443
, Sultan,1983,2033,90,4106
, Woodway,529,498,16,1043
Spokane,,124159,114291,6237,244687
, Airway Heights,2338,2251,144,4733
, Cheney,3137,3008,209,6354
, Deer Park,1721,1560,90,3371
, Fairfield,211,210,6,427
, Latah,63,66,3,132
, Liberty Lake,4828,4274,148,9250
, Medical Lake,1480,1489,64,3033
, Millwood,674,649,16,1339
, Rockford,169,184,6,359
, Spangle,89,97,7,193
, Spokane,74277,67860,4046,146183
, Spokane Valley,35129,32593,1498,69220
, Waverly,43,50,0,93
Stevens,,3363,3008,181,6552
,Chewelah,947,821,54,1822
,Colville,1597,1471,83,3151
,Kettle Falls,572,488,29,1089
,Marcus,63,54,4,121
,Northport,99,92,7,198
,Springdale,85,82,4,171
Thurston,,51361,44261,2218,97840
, Bucoda,170,174,11,355
, Lacey,18298,15860,640,34798
, Olympia,19235,16299,1078,36612
, Rainier,796,754,18,1568
, Tenino,678,565,23,1266
, Tumwater,9459,8006,356,17821
, Yelm,2725,2603,92,5420
Wahkiakum,,225,192,17,434
, Cathlamet,225,192,17,434
Walla Walla,,13237,11762,470,25469
, College Place,2959,2573,107,5639
, Prescott,102,92,6,200
, Waitsburg,423,389,14,826
, Walla Walla,9753,8708,343,18804
Whatcom,,46712,42158,2148,91018
, Bellingham,31341,28027,1767,61135
, Blaine,2317,2232,69,4618
, Everson,880,813,24,1717
, Ferndale,5309,4848,161,10318
, Lynden,5850,5250,108,11208
, Nooksack,523,493,9,1025
, Sumas,492,495,10,997
Whitman,,8891,8367,697,17955
,Albion ,169,172,14,355
,Colfax,964,848,48,1860
,Colton,150,145,5,300
,Endicott ,105,97,5,207
,Farmington ,43,51,4,98
,Garfield ,209,182,6,397
,Lacrosse ,100,112,7,219
,Lamont ,19,23,3,45
,Malden ,36,43,6,85
,Oakesdale ,142,144,9,295
,Palouse,411,361,15,787
,Pullman,5759,5479,528,11766
,Rosalia ,194,169,11,374
,St John ,208,193,10,411
,Tekoa,262,222,19,503
,Uniontown,120,126,7,253
Yakima,,40844,35424,918,77186
, Grandview,2286,1933,46,4265
, Granger,669,552,22,1243
, Harrah,159,129,3,291
, Mabton,393,329,7,729
, Moxee,1275,1157,24,2456
, Naches,274,260,5,539
, Selah,2462,2188,54,4704
, Sunnyside,3016,2599,74,5689
, Tieton,319,256,10,585
, Toppenish,1680,1467,39,3186
, Union Gap,1541,1359,46,2946
, Wapato,944,786,22,1752
, Yakima,24942,21629,555,47126
, Zillah,884,780,11,1675
Grand Total,,1524077,1418378,74555,3017010
